fetch_time,symbol,price
2026-03-11 22:17:34,0GUSDT,0.5585000
2026-03-11 22:17:34,1000000BOBUSDT,0.0131700
2026-03-11 22:17:34,1000000MOGUSDT,0.1576000
2026-03-11 22:17:34,1000BONKUSDT,0.0060530
2026-03-11 22:17:34,1000CATUSDT,0.0017540
2026-03-11 22:17:34,1000CHEEMSUSDT,0.0004931
2026-03-11 22:17:34,1000FLOKIUSDT,0.0297700
2026-03-11 22:17:34,1000LUNCUSDT,0.0417000
2026-03-11 22:17:34,1000PEPEUSDT,0.0033656
2026-03-11 22:17:34,1000RATSUSDT,0.0478000
2026-03-11 22:17:34,1000SATSUSDT,0.0000111
2026-03-11 22:17:34,1000SHIBUSDT,0.005819
2026-03-11 22:17:34,1000WHYUSDT,0.0000110
2026-03-11 22:17:34,1000XECUSDT,0.00710
2026-03-11 22:17:34,1INCHUSDT,0.0960
2026-03-11 22:17:34,1MBABYDOGEUSDT,0.0004092
2026-03-11 22:17:34,2ZUSDT,0.0778400
2026-03-11 22:17:34,4USDT,0.0080650
2026-03-11 22:17:34,A2ZUSDT,0.0008730
2026-03-11 22:17:34,AAVEUSDT,112.690
2026-03-11 22:17:34,ACEUSDT,0.158600
2026-03-11 22:17:34,ACHUSDT,0.0068700
2026-03-11 22:17:34,ACTUSDT,0.0133100
2026-03-11 22:17:34,ACUUSDT,0.1003100
2026-03-11 22:17:34,ACXUSDT,0.0441100
2026-03-11 22:17:34,ADAUSDT,0.26470
2026-03-11 22:17:34,AERGOUSDT,0.0548300
2026-03-11 22:17:34,AEROUSDT,0.3419000
2026-03-11 22:17:34,AEVOUSDT,0.0252800
2026-03-11 22:17:34,AGLDUSDT,0.2370000
2026-03-11 22:17:34,AGTUSDT,0.0070850
2026-03-11 22:17:34,AIAUSDT,0.0974300
2026-03-11 22:17:34,AINUSDT,0.0599400
2026-03-11 22:17:34,AIOTUSDT,0.0233200
2026-03-11 22:17:34,AIOUSDT,0.0893200
2026-03-11 22:17:34,AIUSDT,0.023190
2026-03-11 22:17:34,AIXBTUSDT,0.0275900
2026-03-11 22:17:34,AKEUSDT,0.0002091
2026-03-11 22:17:34,AKTUSDT,0.4400000
2026-03-11 22:17:34,ALCHUSDT,0.0772300
2026-03-11 22:17:34,ALGOUSDT,0.0869
2026-03-11 22:17:34,ALICEUSDT,0.125
2026-03-11 22:17:34,ALLOUSDT,0.1233200
2026-03-11 22:17:34,ALLUSDT,0.477800
2026-03-11 22:17:34,ALPINEUSDT,0.424300
2026-03-11 22:17:34,ALTUSDT,0.0077390
2026-03-11 22:17:34,ANIMEUSDT,0.0045600
2026-03-11 22:17:34,ANKRUSDT,0.004376
2026-03-11 22:17:34,APEUSDT,0.0969
2026-03-11 22:17:34,API3USDT,0.2857
2026-03-11 22:17:34,APRUSDT,0.1139200
2026-03-11 22:17:34,APTUSDT,0.96320
2026-03-11 22:17:34,ARBUSDT,0.101800
2026-03-11 22:17:34,ARCUSDT,0.0424800
2026-03-11 22:17:34,ARIAUSDT,0.1473000
2026-03-11 22:17:34,ARKMUSDT,0.1058000
2026-03-11 22:17:34,ARKUSDT,0.1749000
2026-03-11 22:17:34,ARPAUSDT,0.00992
2026-03-11 22:17:34,ARUSDT,1.698
2026-03-11 22:17:34,ASRUSDT,1.304000
2026-03-11 22:17:34,ASTERUSDT,0.6977000
2026-03-11 22:17:34,ASTRUSDT,0.0076730
